Type,Name,Category DCSGW,Category DCS Name,Category DCS ID,Coalition Name,Coalition ID,Country Name,Country ID,Purchase Cost,Maintenance Cost,Bonus Kill
SAU 2-C9,Ground-40-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
Gepard,Ground-115-1,Category_DCSGW,Ground Unit,1,Blue,2,CJTF_BLUE,80,0,0,0
C-130,Aerial-65-1,Category_DCSGW,Airplane,1,Blue,2,CJTF_BLUE,80,0,0,0
F-14A-135-GR,Aerial-31-1,Category_DCSGW,Airplane,1,Blue,2,CJTF_BLUE,80,0,0,0
Su-17M4,Aerial-35-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
M1097 Avenger,Ground-72-1,Category_DCSGW,Ground Unit,1,Blue,2,CJTF_BLUE,80,0,0,0
M1128 Stryker MGS,Ground-25-1,Category_DCSGW,Ground Unit,1,Blue,2,CJTF_BLUE,80,0,0,0
Hawk cwar,Ground-74-1,Category_DCSGW,Ground Unit,1,Blue,2,CJTF_BLUE,80,0,0,0
MiG-29S,Aerial-5-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
M1126 Stryker ICV,Ground-24-1,Category_DCSGW,Ground Unit,1,Blue,2,CJTF_BLUE,80,0,0,0
Osa 9A33 ln,Ground-110-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
55G6 EWR,Ground-66-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
UH-1H,Rotary-6-1,Category_DCSGW,Helicopter,1,Blue,2,CJTF_BLUE,80,0,0,0
An-30M,Aerial-55-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
F-5E-3,Aerial-15-1,Category_DCSGW,Airplane,1,Blue,2,CJTF_BLUE,80,0,0,0
An-26B,Aerial-54-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
Hummer,Ground-54-1,Category_DCSGW,Ground Unit,1,Blue,2,CJTF_BLUE,80,0,0,0
J-11A,Aerial-11-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
Hawk pcp,Ground-76-1,Category_DCSGW,Ground Unit,1,Blue,2,CJTF_BLUE,80,0,0,0
5p73 s-125 ln,Ground-106-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
M-2000C,Aerial-24-1,Category_DCSGW,Airplane,1,Blue,2,CJTF_BLUE,80,0,0,0
MiG-27K,Aerial-42-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
S-300PS 64H6E sr,Ground-92-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
BMP-1,Ground-13-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
MiG-25PD,Aerial-8-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
SA-11 Buk LN 9A310M1,Ground-95-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
Su-24M,Aerial-40-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
SAU Akatsia,Ground-42-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
MiG-15bis,Aerial-16-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
I-16,Aerial-14-1,Category_DCSGW,Airplane,1,Red,1,CJTF_RED,81,0,0,0
Uragan_BM-27,Ground-45-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
Igla manpad INS,Ground-100-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
Kub 2P25 ln,Ground-108-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
UAZ-469,Ground-49-1,Category_DCSGW,Ground Unit,1,Red,1,CJTF_RED,81,0,0,0
KC-135,Aerial-58-1,Category_DCSGW,Airplane,1,Blue,2,CJTF_BLUE,80,0,0,0
Tornado GR4,Aerial-34-1,Category_DCSGW,Airplane,1,Blue,2,CJTF_BLUE,80,0,0,0
